...1,Date,Team,Acquired,Relinquished,Notes
25087,3/5/2017,Jazz,NA,Shelvin Mack,placed on IL with sprained left ankle
25090,3/5/2017,Knicks,NA,Maurice Ndour / Maurice N'dour,placed on IL with sprained right ankle
25092,3/5/2017,Lakers,NA,Ivica Zubac,placed on IL with quadriceps injury (DTD)
25095,3/5/2017,Pacers,NA,Lavoy Allen,placed on IL with sore right knee
25097,3/5/2017,Mavericks,NA,A.J. Hammons,placed on IL
25098,3/6/2017,Bulls,NA,Dwyane Wade,placed on IL with strained left quadricep
25099,3/6/2017,Bulls,NA,Rajon Rondo,placed on IL with sprained right ankle
25102,3/6/2017,Jazz,NA,George Hill,placed on IL
25103,3/6/2017,Nuggets,NA,Nikola Jokic,placed on IL with illness
25104,3/6/2017,Spurs,NA,Joel Anthony,placed on IL
25108,3/7/2017,Lakers,NA,Luol Deng,placed on IL
25110,3/7/2017,Thunder,NA,Kyle Singler,placed on IL
25112,3/8/2017,Bulls,NA,Isaiah Canaan,placed on IL
25114,3/8/2017,Celtics,NA,James Young,placed on IL with bruised tailbone / sore lower back
25116,3/8/2017,Jazz,NA,Derrick Favors,placed on IL with sore right knee (DTD)
25117,3/8/2017,Pacers,NA,Joe Young,placed on IL
25119,3/8/2017,Spurs,NA,Kawhi Leonard,placed on IL for rest
25120,3/8/2017,Spurs,NA,LaMarcus Aldridge,placed on IL for rest
25124,3/9/2017,Cavaliers,NA,Andrew Bogut,placed on IL with fractured tibia in left / right leg
25126,3/9/2017,Spurs,NA,Emanuel Ginobili / Manu Ginobili,placed on IL
25127,3/9/2017,Spurs,NA,Kyle Anderson,placed on IL with sprained right knee
25130,3/10/2017,Bulls,NA,Anthony Morrow,placed on IL
25133,3/10/2017,Mavericks,NA,Nerlens Noel,placed on IL with sore left knee
25138,3/10/2017,Nuggets,NA,Malik Beasley,placed on IL
25139,3/10/2017,Rockets,NA,Troy Williams,placed on IL
25140,3/11/2017,Hawks,NA,Dwight Howard,placed on IL for rest
25142,3/11/2017,Pelicans,NA,Cheick Diallo,placed on IL
25143,3/11/2017,Spurs,NA,Kawhi Leonard,placed on IL with concussion
25144,3/11/2017,Spurs,NA,LaMarcus Aldridge,placed on IL with heart arrhythmia
25147,3/11/2017,Warriors,NA,Draymond Green,placed on IL for rest
25148,3/11/2017,Wizards,NA,Sheldon McClellan / Sheldon Mac,placed on IL
25150,3/11/2017,Mavericks,NA,Jarrod Uthoff,placed on IL
25151,3/11/2017,Mavericks,NA,Manny Harris,placed on IL
25154,3/12/2017,Bulls,NA,Nikola Mirotic,placed on IL
25156,3/12/2017,Celtics,NA,Jordan Mickey,placed on IL
25158,3/12/2017,Lakers,NA,Timofey Mozgov,placed on IL
25160,3/13/2017,Bulls,NA,Isaiah Canaan,placed on IL
25162,3/13/2017,Hawks,NA,Ryan Kelly,placed on IL
25164,3/13/2017,Mavericks,NA,A.J. Hammons,placed on IL
25167,3/13/2017,Nuggets,NA,Wilson Chandler,placed on IL with right groin injury
25168,3/13/2017,Spurs,NA,Dejounte Murray,placed on IL with sore left groin (DTD)
25170,3/13/2017,Wizards,NA,Daniel Ochefu,placed on IL
25173,3/14/2017,Warriors,NA,Damian Jones,placed on IL
25175,3/14/2017,Cavaliers,NA,Kahlil Felder / Kay Felder,placed on IL
25176,3/15/2017,Bulls,NA,Cameron Payne,placed on IL with sore right foot
25178,3/15/2017,Mavericks,NA,Wesley Matthews / Wes Matthews Jr.,placed on IL with strained right calf
25180,3/15/2017,Pacers,NA,Lavoy Allen,placed on IL with sore left knee
25182,3/15/2017,Spurs,NA,(William) Tony Parker,placed on IL with sore lower back
25184,3/15/2017,Wizards,NA,Sheldon McClellan / Sheldon Mac,placed on IL
25186,3/16/2017,Cavaliers,NA,Kyle Korver,placed on IL with sore left foot
25188,3/16/2017,Clippers,NA,DeAndre Jordan,placed on IL for rest
25190,3/16/2017,Hawks,NA,DeAndre' Bembry,placed on IL
25192,3/16/2017,Knicks,NA,Kristaps Porzingis,placed on IL with left thigh injury
25193,3/16/2017,Nets,NA,Sean Kilpatrick,placed on IL with strained left hamstring
25194,3/16/2017,Nuggets,NA,Danilo Gallinari,placed on IL with left knee injury
25197,3/17/2017,Bulls,NA,Dwyane Wade,placed on IL with fractured right elbow
25199,3/17/2017,Celtics,NA,Isaiah Thomas,placed on IL with bone bruise in right knee
25201,3/17/2017,Lakers,NA,Tarik Black,placed on IL with sprained right ankle / illness (DTD)
25203,3/17/2017,Mavericks,NA,Jarrod Uthoff,placed on IL
25205,3/17/2017,Wizards,NA,Markieff Morris,placed on IL with illness
25208,3/18/2017,Blazers,NA,Ed Davis (Adam),placed on IL with recovering from arthroscopic surgery on left shoulder to repair injured labrum (out for season)
25210,3/18/2017,Cavaliers,NA,Larry Sanders (b. 1988-11-21),placed on IL
25211,3/18/2017,Clippers,NA,Wesley Johnson / Wes Johnson,placed on IL
25213,3/18/2017,Grizzlies,NA,Chandler Parsons,placed on IL with torn meniscus in left knee (out for season)
25215,3/18/2017,Spurs,NA,Joel Anthony,placed on IL
25218,3/19/2017,Lakers,NA,Timofey Mozgov,placed on IL
25219,3/19/2017,Pacers,NA,Joe Young,placed on IL
25221,3/19/2017,Spurs,NA,Emanuel Ginobili / Manu Ginobili,placed on IL for rest
25223,3/19/2017,Suns,NA,Devin Booker,placed on IL with sore right ankle
25225,3/20/2017,Celtics,NA,Demetrius Jackson,placed on IL
25227,3/20/2017,Hawks,NA,Kent Bazemore,placed on IL with bone bruise in right knee
25228,3/20/2017,Hawks,NA,Paul Millsap,placed on IL with tightness in left knee
25231,3/20/2017,Knicks,NA,Maurice Ndour / Maurice N'dour,placed on IL
25233,3/20/2017,Magic,NA,Stephen Zimmerman Jr.,placed on IL
25235,3/20/2017,Wizards,NA,Daniel Ochefu,placed on IL
25236,3/20/2017,Wizards,NA,Markieff Morris,placed on IL
25239,3/21/2017,Spurs,NA,David Lee,placed on IL with sore left foot
25241,3/21/2017,Suns,NA,Ronnie Price,placed on IL with left leg injury
25243,3/21/2017,Warriors,NA,Andre Iguodala,placed on IL with strained left hip
25244,3/22/2017,Bulls,NA,Cristiano Felicio,placed on IL with bruised lower back
25246,3/22/2017,Kings,NA,Malachi Richardson,placed on IL with torn right hamstring (out for season)
25247,3/22/2017,Magic,NA,Jeff Green,placed on IL with back spasms / sore lower back
25250,3/22/2017,Cavaliers,NA,Kahlil Felder / Kay Felder,placed on IL
25251,3/22/2017,Nuggets,NA,Malik Beasley,placed on IL
25253,3/23/2017,Mavericks,NA,Manny Harris,placed on IL
25255,3/23/2017,Spurs,NA,Joel Anthony,placed on IL
25257,3/24/2017,Hornets,NA,Johnny O'Bryant III,placed on IL with sprained right ankle (out for season)
25258,3/24/2017,Nuggets,NA,Mike Miller,placed on IL
25261,3/24/2017,Wizards,NA,Sheldon McClellan / Sheldon Mac,placed on IL
25264,3/25/2017,Cavaliers,NA,Iman Shumpert,placed on IL with sore right knee
25266,3/25/2017,Knicks,NA,Carmelo Anthony,placed on IL with sore left knee
25268,3/25/2017,Mavericks,NA,Jarrod Uthoff,placed on IL
25270,3/25/2017,Spurs,NA,Danny Green,placed on IL
25272,3/25/2017,Wizards,NA,Bojan Bogdanovic,placed on IL with back injury
25274,3/26/2017,Clippers,NA,J.J. Redick,placed on IL with sprained right ankle
25276,3/26/2017,Lakers,NA,Brandon Ingram,placed on IL with patellar tendinitis in knee
25278,3/26/2017,Nuggets,NA,Roy Hibbert,placed on IL
25280,3/26/2017,Pacers,NA,Glenn Robinson III,placed on IL with strained left calf (out for season)
25282,3/26/2017,Rockets,NA,Ryan Anderson,placed on IL with sprained right ankle
25286,3/27/2017,Cavaliers,NA,Kyle Korver,placed on IL with sore left foot
25287,3/27/2017,Cavaliers,NA,Larry Sanders (b. 1988-11-21),placed on IL
25290,3/27/2017,Knicks,NA,Lance Thomas,placed on IL with right hip injury (out for season)
25292,3/27/2017,Mavericks,NA,A.J. Hammons,placed on IL
25293,3/27/2017,Mavericks,NA,Seth Curry,placed on IL with left shoulder injury
25296,3/27/2017,Pistons,NA,Reggie Bullock,placed on IL with sprained right foot
25297,3/27/2017,Pistons,NA,Reggie Jackson (Shon),placed on IL with left knee injury (out for season)
25300,3/27/2017,Spurs,NA,Joel Anthony,placed on IL
25304,3/28/2017,Nets,NA,Andrew Nicholson,placed on IL
25306,3/28/2017,Nuggets,NA,Mike Miller,placed on IL
25308,3/28/2017,Pacers,NA,Rodney Stuckey,placed on IL with strained patellar tendon in left knee
25310,3/28/2017,Suns,NA,Devin Booker,placed on IL with ankle injury
25312,3/28/2017,Wizards,NA,Daniel Ochefu,placed on IL
25314,3/29/2017,Clippers,NA,Wesley Johnson / Wes Johnson,placed on IL
25316,3/29/2017,Hawks,NA,Mike Dunleavy Jr.,placed on IL with sore right ankle
25318,3/29/2017,Jazz,NA,George Hill,placed on IL with strained groin
25319,3/29/2017,Knicks,NA,Derrick Rose,placed on IL with torn meniscus in left knee / sore right foot (out for season)
25320,3/29/2017,Mavericks,NA,Salah Mejri,placed on IL with stomach ailment / knee injury
25323,3/29/2017,Wizards,NA,Sheldon McClellan / Sheldon Mac,placed on IL
25327,3/30/2017,Bulls,NA,Cameron Payne,placed on IL
25329,3/30/2017,Nets,NA,Quincy Acy,placed on IL with ankle injury
25332,3/30/2017,Suns,NA,Leandro Barbosa,placed on IL with sore right hamstring (out for season)
25334,3/31/2017,Bucks,NA,John Henson,placed on IL with sprained left thumb
25336,3/31/2017,Celtics,NA,Avery Bradley,placed on IL with gastroenteritis
25337,3/31/2017,Grizzlies,NA,Andrew Harrison,placed on IL with sore right ankle
25339,3/31/2017,Knicks,NA,Carmelo Anthony,placed on IL with sore lower back
25340,3/31/2017,Mavericks,NA,A.J. Hammons,placed on IL
25342,3/31/2017,Nuggets,NA,Will Barton,placed on IL with sore left foot
25345,3/31/2017,Rockets,NA,Troy Williams,placed on IL
25346,3/31/2017,Thunder,NA,Taj Gibson,placed on IL with illness
25348,3/31/2017,Wizards,NA,Daniel Ochefu,placed on IL
25350,4/1/2017,Blazers,NA,Jusuf Nurkic,placed on IL with fractured fibula in right leg
25351,4/1/2017,Hawks,NA,Thabo Sefolosha,placed on IL with strained right groin
25353,4/1/2017,Lakers,NA,Ivica Zubac,placed on IL with sprained right ankle (out for season)
25355,4/2/2017,Cavaliers,NA,Kahlil Felder / Kay Felder,placed on IL
25356,4/2/2017,Hawks,NA,Malcolm Delaney,placed on IL with back spasms
25358,4/2/2017,Lakers,NA,Tarik Black,placed on IL with knee injury
25360,4/2/2017,Mavericks,NA,Seth Curry,placed on IL with sore left shoulder (out for season)
25362,4/2/2017,Nets,NA,Andrew Nicholson,placed on IL
25364,4/2/2017,Nuggets,NA,Darrell Arthur,placed on IL with sore left knee
25365,4/2/2017,Pacers,NA,Georges Niang,placed on IL
25366,4/2/2017,Raptors,NA,P.J. Tucker,placed on IL with sore left knee
25368,4/2/2017,Rockets,NA,James Harden,placed on IL with illness
25369,4/2/2017,Spurs,NA,Danny Green,placed on IL with bruised left quadricep
25371,4/2/2017,Suns,NA,T.J. Warren,placed on IL with illness
25373,4/2/2017,Thunder,NA,Kyle Singler,placed on IL
25375,4/2/2017,Wizards,NA,Sheldon McClellan / Sheldon Mac,placed on IL
25381,4/4/2017,Blazers,NA,Tim Quarterman,placed on IL
25383,4/4/2017,Grizzlies,NA,Tony Allen,placed on IL with left eye injury
25386,4/4/2017,Knicks,NA,Kristaps Porzingis,placed on IL with sore lower back
25388,4/4/2017,Nets,NA,Isaiah Whitehead,placed on IL with sprained left ankle
25390,4/4/2017,Raptors,NA,Bruno Caboclo,placed on IL
25393,4/4/2017,Cavaliers,NA,Larry Sanders (b. 1988-11-21),placed on IL
25394,4/5/2017,Cavaliers,NA,Tristan Thompson,placed on IL with sprained right thumb
25397,4/5/2017,Clippers,NA,Austin Rivers,placed on IL with strained left hamstring
25399,4/5/2017,Grizzlies,NA,Mike Conley Jr.,placed on IL with laceration above right eye
25400,4/5/2017,Lakers,NA,D'Angelo Russell,placed on IL with sore left knee
25402,4/5/2017,Nuggets,NA,Malik Beasley,placed on IL
25404,4/5/2017,Pistons,NA,Michael Gbinije,placed on IL with illness
25406,4/5/2017,Raptors,NA,Pascal Siakam,placed on IL
25408,4/5/2017,Rockets,NA,Chinanu Onuaku,placed on IL
25409,4/5/2017,Rockets,NA,Sam Dekker,placed on IL with fractured left hand
25411,4/5/2017,Suns,NA,Brandon Knight,placed on IL
25413,4/5/2017,Thunder,NA,Alex Abrines,placed on IL with sprained knee
25416,4/6/2017,Blazers,NA,Jusuf Nurkic,placed on IL with fractured fibula in right leg
25418,4/6/2017,Bulls,NA,Rajon Rondo,placed on IL with sprained right wrist
25420,4/6/2017,Hawks,NA,Kris Humphries,placed on IL
25422,4/6/2017,Knicks,NA,Chasson Randle,placed on IL with sprained left ankle
25423,4/6/2017,Magic,NA,Evan Fournier,placed on IL with sore right wrist
25424,4/6/2017,Nets,NA,Sean Kilpatrick,placed on IL with strained/tightness in left hamstring (out for season)
25426,4/6/2017,Wizards,NA,Markieff Morris,placed on IL with sore right ankle
25429,4/7/2017,Grizzlies,NA,Jarell Martin,placed on IL
25431,4/7/2017,Hawks,NA,Paul Millsap,placed on IL with sore left knee
25433,4/7/2017,Jazz,NA,Raulzinho Neto / Raul Neto,placed on IL with strained right groin
25436,4/7/2017,Lakers,NA,Luol Deng,placed on IL
25439,4/7/2017,Nuggets,NA,Jameer Nelson,placed on IL with strained right calf (out for season)
25441,4/7/2017,Rockets,NA,Clint Capela,placed on IL
25444,4/7/2017,Suns,NA,Tyson Chandler,placed on IL
25446,4/8/2017,Bucks,NA,Malcolm Brogdon,placed on IL with sore back
25448,4/8/2017,Bulls,NA,Cameron Payne,placed on IL
25450,4/8/2017,Celtics,NA,Amir Johnson,placed on IL with illness
25451,4/8/2017,Jazz,NA,Joel Bolomboy,placed on IL
25453,4/8/2017,Magic,NA,Stephen Zimmerman Jr.,placed on IL
25454,4/8/2017,Warriors,NA,Kevon Looney,placed on IL
25456,4/8/2017,Wizards,NA,Otto Porter Jr.,placed on IL with sore back
25457,4/8/2017,Wizards,NA,Sheldon McClellan / Sheldon Mac,placed on IL
25460,4/9/2017,Grizzlies,NA,Zach Randolph,placed on IL for rest
25462,4/9/2017,Hawks,NA,Ryan Kelly,placed on IL
25464,4/9/2017,Knicks,NA,Kristaps Porzingis,placed on IL with sore lower back (out for season)
25465,4/9/2017,Nuggets,NA,Kenneth Faried,placed on IL with sore back
25467,4/9/2017,Rockets,NA,Trevor Ariza,placed on IL for rest
25469,4/10/2017,Bucks,NA,Jabari Parker,placed on IL recovering from surgery on left knee to repair torn ACL (out for season)
25470,4/10/2017,Bucks,NA,Spencer Hawes,placed on IL
25474,4/10/2017,Hornets,NA,Marco Belinelli,placed on IL with strained left index finger (out for season)
25476,4/10/2017,Jazz,NA,Derrick Favors,placed on IL with sore left knee
25477,4/10/2017,Jazz,NA,Raulzinho Neto / Raul Neto,placed on IL with sprained left / right ankle
25480,4/10/2017,Pistons,NA,Beno Udrih,placed on IL with sprained right knee
25483,4/10/2017,Spurs,NA,Joel Anthony,placed on IL
25485,4/10/2017,Celtics,NA,Jordan Mickey,placed on IL
25488,4/10/2017,Rockets,NA,Kyle Wiltjer,placed on IL
25489,4/11/2017,Hawks,NA,DeAndre' Bembry,placed on IL
25491,4/11/2017,Kings,NA,Darren Collison,placed on IL with rest / migraine headache
25493,4/11/2017,Nuggets,NA,Danilo Gallinari,placed on IL for rest
25494,4/11/2017,Pelicans,NA,Omer Asik,placed on IL with illness (out for season)
25495,4/11/2017,Thunder,NA,Doug McDermott,placed on IL with sore left knee
25498,4/12/2017,Bucks,NA,Khris Middleton,placed on IL
25500,4/12/2017,Bulls,NA,Isaiah Canaan,placed on IL
25502,4/12/2017,Cavaliers,NA,Kahlil Felder / Kay Felder,placed on IL
25503,4/12/2017,Cavaliers,NA,LeBron James,placed on IL for rest
25505,4/12/2017,Grizzlies,NA,James Ennis III,placed on IL with right knee injury (out for season)
25507,4/12/2017,Hawks,NA,Kent Bazemore,placed on IL
25508,4/12/2017,Hawks,NA,Paul Millsap,placed on IL for rest
25511,4/12/2017,Jazz,NA,Joel Bolomboy,placed on IL
25513,4/12/2017,Kings,NA,Anthony Tolliver,placed on IL for rest (out for season)
25514,4/12/2017,Magic,NA,C.J. Watson,placed on IL
25517,4/12/2017,Mavericks,NA,Jose Juan Barea / Jose Barea / J.J. Barea,placed on IL (out for season)
25518,4/12/2017,Nuggets,NA,Emmanuel Mudiay,placed on IL with sore/sprained right ankle (out for season)
25519,4/12/2017,Pistons,NA,Michael Gbinije,placed on IL with illness (out for season)
25520,4/12/2017,Raptors,NA,DeMar DeRozan,placed on IL for rest / flu (out for season)
25521,4/12/2017,Raptors,NA,Serge Ibaka,placed on IL
25522,4/12/2017,Rockets,NA,Chinanu Onuaku,placed on IL
25524,4/12/2017,Spurs,NA,Bryn Forbes,placed on IL
25526,4/12/2017,Thunder,NA,Andre Roberson,placed on IL
25528,4/12/2017,Warriors,NA,Matt Barnes,"placed on IL with sprained right ankle, foot"
25530,4/12/2017,Wizards,NA,Bradley Beal,placed on IL for rest
25531,4/12/2017,Wizards,NA,Ian Mahinmi,placed on IL for strained left calf
25539,4/15/2017,Bucks,NA,Gary Payton II,placed on IL
25540,4/15/2017,Bucks,NA,Jabari Parker,placed on IL recovering from surgery on left knee to repair torn ACL (out for season)
25542,4/15/2017,Cavaliers,NA,Kahlil Felder / Kay Felder,placed on IL
25543,4/15/2017,Cavaliers,NA,Walter Tavares / Edy Tavares,placed on IL
25544,4/15/2017,Clippers,NA,Austin Rivers,placed on IL with strained left hamstring
25545,4/15/2017,Clippers,NA,Diamond Stone,placed on IL
25546,4/15/2017,Grizzlies,NA,Tony Allen,placed on IL with strained right calf muscle (out for season)
25547,4/15/2017,Jazz,NA,Joel Bolomboy,placed on IL
25548,4/15/2017,Jazz,NA,Raulzinho Neto / Raul Neto,placed on IL
25549,4/15/2017,Pacers,NA,Georges Niang,placed on IL
25550,4/15/2017,Pacers,NA,Glenn Robinson III,placed on IL with strained left calf (out for season)
25551,4/15/2017,Raptors,NA,Bruno Caboclo,placed on IL
25552,4/15/2017,Raptors,NA,Pascal Siakam,placed on IL
25553,4/15/2017,Spurs,NA,Dejounte Murray,placed on IL
25554,4/15/2017,Spurs,NA,Joel Anthony,placed on IL
25555,4/16/2017,Bulls,NA,Cameron Payne,placed on IL
25556,4/16/2017,Bulls,NA,Isaiah Canaan,placed on IL
25557,4/16/2017,Celtics,NA,Demetrius Jackson,placed on IL
25558,4/16/2017,Celtics,NA,Jordan Mickey,placed on IL
25559,4/16/2017,Hawks,NA,DeAndre' Bembry,placed on IL
25560,4/16/2017,Hawks,NA,Ryan Kelly,placed on IL
25561,4/16/2017,Rockets,NA,Chinanu Onuaku,placed on IL
25562,4/16/2017,Rockets,NA,Isaiah Taylor,placed on IL
25563,4/16/2017,Rockets,NA,Kyle Wiltjer,placed on IL
25564,4/16/2017,Thunder,NA,Josh Huestis,placed on IL
25565,4/16/2017,Thunder,NA,Kyle Singler,placed on IL
25567,4/16/2017,Warriors,NA,Kevon Looney,placed on IL with strained left hip (out for season)
25568,4/16/2017,Warriors,NA,Matt Barnes,placed on IL with sprained right ankle
25569,4/16/2017,Wizards,NA,Chris McCullough,placed on IL (out for season)
25571,4/17/2017,Pacers,NA,Joe Young,placed on IL
25572,4/18/2017,Jazz,NA,Alec Burks,placed on IL with sore left knee (out for season)
25573,4/18/2017,Jazz,NA,Rudy Gobert,placed on IL with hyperextended left knee
25576,4/19/2017,Thunder,NA,Norris Cole (Gene),placed on IL
25578,4/20/2017,Spurs,NA,Bryn Forbes,placed on IL
25580,4/21/2017,Bulls,NA,Rajon Rondo,placed on IL with fractured right thumb (out for season)
25582,4/21/2017,Thunder,NA,Semaj Christon,placed on IL
25586,4/22/2017,Spurs,NA,Dewayne Dedmon,placed on IL with illness
25588,4/23/2017,Bulls,NA,Cameron Payne,placed on IL
25590,4/23/2017,Clippers,NA,Blake Griffin,placed on IL with right big toe injury (out for season)
25592,4/23/2017,Jazz,NA,Jeff Withey,placed on IL
25594,4/25/2017,Clippers,NA,Diamond Stone,placed on IL (out for season)
25596,4/25/2017,Spurs,NA,Joel Anthony,placed on IL
25598,4/28/2017,Jazz,NA,Joel Bolomboy,placed on IL
25600,5/1/2017,Raptors,NA,Lucas Nogueira,placed on IL
25604,5/2/2017,Jazz,NA,Jeff Withey,placed on IL
25606,5/2/2017,Warriors,NA,Damian Jones,placed on IL
25608,5/4/2017,Jazz,NA,George Hill,placed on IL with sore left big toe (out for season)
25610,5/4/2017,Wizards,NA,Daniel Ochefu,placed on IL
25612,5/5/2017,Raptors,NA,Lucas Nogueira,placed on IL
25615,5/5/2017,Spurs,NA,(William) Tony Parker,placed on IL recovering from surgery to repair ruptured quadriceps tendon in left leg (out for season)
25617,5/7/2017,Raptors,NA,Kyle Lowry,placed on IL with sprained left ankle
25620,5/9/2017,Rockets,NA,Isaiah Taylor,placed on IL
25621,5/9/2017,Rockets,NA,Nene / Nene Hilario / Maybyner Hilario,placed on IL with torn left adductor muscle (out for season)
25624,5/11/2017,Rockets,NA,Kyle Wiltjer,placed on IL (out for season)
25626,5/11/2017,Spurs,NA,Kawhi Leonard,placed on IL with sprained left ankle
25629,5/16/2017,Spurs,NA,Kawhi Leonard,placed on IL with sprained left ankle
25631,5/16/2017,Warriors,NA,Andre Iguodala,placed on IL with sore left knee
25633,5/19/2017,Celtics,NA,James Young,placed on IL
25635,5/20/2017,Warriors,NA,Zaur Pachulia / Zaza Pachulia,placed on IL with bruised right heel
25637,5/21/2017,Celtics,NA,Isaiah Thomas,placed on IL with hip injury (out for season)
25639,5/22/2017,Spurs,NA,David Lee,placed on IL with torn patellar tendon in left knee (out for season)
25641,6/1/2017,Warriors,NA,Damian Jones,placed on IL
25643,10/17/2017,Cavaliers,NA,Ante Zizic,placed on IL
25644,10/17/2017,Cavaliers,NA,Isaiah Thomas,placed on IL with right hip impingement
25645,10/17/2017,Celtics,NA,Guerschon Yabusele,placed on IL with illness
25646,10/17/2017,Celtics,NA,Jabari Bird,placed on IL
25647,10/17/2017,Celtics,NA,Kadeem Allen,placed on IL
25648,10/17/2017,Celtics,NA,Marcus Morris,placed on IL with sore right knee
25649,10/17/2017,Grizzlies,NA,Ben McLemore,placed on IL recovering from surgery on right foot to repair fracture
25650,10/17/2017,Grizzlies,NA,Wayne Selden Jr.,placed on IL with right quadriceps injury
25651,10/17/2017,Heat,NA,Rodney McGruder,placed on IL recovering from surgery on lower left leg to repair stress fracture
25652,10/17/2017,Hornets,NA,Nicolas Batum,placed on IL with torn ligament in left elbow
25653,10/17/2017,Pelicans,NA,Alexis Ajinca / Alex Ajinca,placed on IL with sore right knee
25654,10/17/2017,Pelicans,NA,Frank Jackson,placed on IL with fractured right foot (out for season)
25655,10/17/2017,Pelicans,NA,Omer Asik,placed on IL with illness
25656,10/17/2017,Pelicans,NA,Rajon Rondo,placed on IL recovering from surgery to repair sports hernia
25657,10/17/2017,Pelicans,NA,Solomon Hill,placed on IL recovering from surgery to repair torn left hamstring
25658,10/17/2017,Rockets,NA,Chinanu Onuaku,placed on IL
25659,10/17/2017,Rockets,NA,Troy Williams,placed on IL
25660,10/17/2017,Spurs,NA,(William) Tony Parker,placed on IL recovering from surgery to repair ruptured quadriceps tendon in left leg
25661,10/17/2017,Spurs,NA,Kawhi Leonard,placed on IL with rehab of right quadriceps
25662,10/17/2017,Warriors,NA,Andre Iguodala,placed on IL with strained back
25663,10/17/2017,Warriors,NA,Chris Boucher,placed on IL
25664,10/17/2017,Warriors,NA,Damian Jones,placed on IL
25665,10/17/2017,Cavaliers,NA,John Holland,placed on IL
25666,10/17/2017,Warriors,NA,Quinn Cook,placed on IL
25667,10/18/2017,76ers,NA,Furkan Korkmaz,placed on IL
25668,10/18/2017,76ers,NA,Jacob Pullen,placed on IL
25669,10/18/2017,76ers,NA,James Michael McAdoo / James McAdoo (Michael),placed on IL
25670,10/18/2017,76ers,NA,Richaun Holmes,placed on IL with fractured hand/wrist
25671,10/18/2017,Blazers,NA,C.J. Wilcox,placed on IL
25672,10/18/2017,Blazers,NA,Noah Vonleh,placed on IL with strained right shoulder
25673,10/18/2017,Celtics,NA,Gordon Hayward,placed on IL with fractured tibia in left leg and dislocated left ankle (out for season)
25675,10/18/2017,Grizzlies,NA,Kobi Simmons,placed on IL
25676,10/18/2017,Grizzlies,NA,Vincent Hunter / Vince Hunter,placed on IL
25677,10/18/2017,Hawks,NA,Isaiah Taylor,placed on IL
25678,10/18/2017,Hawks,NA,Miles Plumlee,placed on IL with strained right quadriceps
25679,10/18/2017,Hawks,NA,Nicolas Brussino,placed on IL
25680,10/18/2017,Heat,NA,A.J. Hammons,placed on IL with illness
25681,10/18/2017,Heat,NA,Derrick Walton Jr.,placed on IL
25682,10/18/2017,Heat,NA,Okaro White,placed on IL with sprained/strained left shoulder
25683,10/18/2017,Hornets,NA,Mangok Mathiang,placed on IL
25684,10/18/2017,Hornets,NA,Marcus Paige,placed on IL
25685,10/18/2017,Jazz,NA,Dante Exum,placed on IL recovering from surgery on separated left shoulder
25686,10/18/2017,Jazz,NA,Eric Griffin,placed on IL
25687,10/18/2017,Jazz,NA,Raulzinho Neto / Raul Neto,placed on IL with right hamstring injury
25688,10/18/2017,Jazz,NA,Tony Bradley,placed on IL
25689,10/18/2017,Kings,NA,Harry Giles III,placed on IL recovering from surgery / rehab of knees
25690,10/18/2017,Kings,NA,Jack Cooley,placed on IL
25691,10/18/2017,Kings,NA,Zach Randolph,placed on IL recovering from oral surgery
25692,10/18/2017,Magic,NA,Adreian Payne,placed on IL with fractured left hand
25693,10/18/2017,Magic,NA,Jamel Artis,placed on IL
25694,10/18/2017,Magic,NA,Khem Birch,placed on IL
25695,10/18/2017,Magic,NA,Wesley Iwundu / Wes Iwundu,placed on IL with strained right hamstring
25696,10/18/2017,Mavericks,NA,Gian Clavell,placed on IL
25697,10/18/2017,Mavericks,NA,Johnathan Motley,placed on IL
25698,10/18/2017,Mavericks,NA,Josh McRoberts,placed on IL with knee injury
25699,10/18/2017,Mavericks,NA,Seth Curry,placed on IL with stress reaction in tibia in left leg (out for season)
25700,10/18/2017,Nets,NA,Isaiah Whitehead,placed on IL
25701,10/18/2017,Nets,NA,Jacob Wiley / Jake Wiley,placed on IL
25702,10/18/2017,Nets,NA,Tyler Zeller,placed on IL
25703,10/18/2017,Nets,NA,Yakuba Ouattara / Billy Ouattara,placed on IL
25704,10/18/2017,Nuggets,NA,Monte Morris,placed on IL
25705,10/18/2017,Nuggets,NA,Torrey Craig,placed on IL
25706,10/18/2017,Nuggets,NA,Tyler Lydon,placed on IL
25707,10/18/2017,Pacers,NA,Alex Poythress,placed on IL
25708,10/18/2017,Pacers,NA,Bogdan Bogdanovic,placed on IL with sprained right ankle
25709,10/18/2017,Pacers,NA,Edmond Sumner,placed on IL with surgery on left knee
25710,10/18/2017,Pacers,NA,Glenn Robinson III,placed on IL recovering from surgery on left ankle
25711,10/18/2017,Pistons,NA,Anthony Tolliver,placed on IL
25712,10/18/2017,Pistons,NA,Dwight Buycks,placed on IL with strained left hip flexor
25713,10/18/2017,Pistons,NA,Luis Montero,placed on IL
25714,10/18/2017,Spurs,NA,Darrun Hilliard,placed on IL
25715,10/18/2017,Spurs,NA,Matt Costello,placed on IL
25716,10/18/2017,Suns,NA,Alan Williams,placed on IL recovering from surgery on right knee to repair torn meniscus
25717,10/18/2017,Suns,NA,Alex Len,placed on IL with sprained left ankle
25718,10/18/2017,Suns,NA,Brandon Knight,placed on IL recovering from torn ACL in left knee (out for season)
